节次/周次,星期一,星期二,星期三,星期四,星期五
8:20-9:05,沈海荣 金工认识实习(12);陈元林 电子仪器实习(18:信息334、信息332),蒋祥龙 概率论与数理统计(4:教学3B501),朱巧珍 高等数学A（二）(1-11 13-16:教学2B403),陈元林 电子仪器实习(18:信息334、信息332),沈海荣 金工认识实习(12)
8:20-9:05,-12,"(4,教学3B501)","(1-11 13-16,教学2B403)","(18,信息334,信息332)",-12
,(XX227040_003),董燕 概率论与数理统计(WL210140_005),沈海荣 金工认识实习(QT727010_002),周文杰 大学英语（二）(WY110012_028),陈元林 电子仪器实习(XX227040_003)
,"(18,信息334,信息332)","(1-3 5-9,教学3B501)",-12,"(6 10,教学3C203)","(18,信息334,信息332)"
,徐艳丽 高级语言程序设计实验(XX110170s_008),沈海荣 金工认识实习(QT727010_002),陈元林 电子仪器实习(XX227040_003),"(1-5 7-9 11-16,教学1A401)",王帅群 高级语言程序设计(XX110590_010)
,"(15,信息119)",-12,"(18,信息334,信息332)",耿烜 专业认知实习(XX227270_002),"(1,教学2B502)"
,耿烜 专业认知实习(XX227270_002),陈元林 电子仪器实习(XX227040_003),耿烜 专业认知实习(XX227270_002),"(19-20,信息231)",徐艳丽 高级语言程序设计(XX110590_010)
,"(19-20,信息231)","(18,信息334,信息332)","(19-20,信息231)",,"(2-9,教学2B502)"
,,耿烜 专业认知实习(XX227270_002),,,耿烜 专业认知实习(XX227270_002)
第二节,,"(19-20,信息231)",,,"(19-20,信息231)"
9:10-9:55,,,,,
第三节,陈元林 电子仪器实习(XX227040_003),沈海荣 金工认识实习(QT727010_002),蒋祥龙 概率论与数理统计(WL210140_005),朱巧珍 高等数学A（二）(WL210012_011),沈海荣 金工认识实习(QT727010_002)
10:15-11:00,"(18,信息334,信息332)",-12,"(4,教学2B403)","(2 4-10 双14-16,教学2B403)",-12
,周文杰 大学英语（二）(WY110012_028),陈元林 电子仪器实习(XX227040_003),董燕 概率论与数理统计(WL210140_005),沈海荣 金工认识实习(QT727010_002),陈元林 电子仪器实习(XX227040_003)
,"(1-16,教学1A401)","(18,信息334,信息332)","(1-3 5-11 13-16,教学2B403)",-12,"(18,信息334,信息332)"
,耿烜 专业认知实习(XX227270_002),耿烜 专业认知实习(XX227270_002),沈海荣 金工认识实习(QT727010_002),陈元林 电子仪器实习(XX227040_003),杨志伟 毛泽东思想和中国特色社会主义理论体系概论(MY210350_004)
,"(19-20,信息231)","(19-20,信息231)",-12,"(18,信息334,信息332)","(1-6,教学1A402)"
,,,陈元林 电子仪器实习(XX227040_003),耿烜 专业认知实习(XX227270_002),耿烜 专业认知实习(XX227270_002)
,,,"(18,信息334,信息332)","(19-20,信息231)","(19-20,信息231)"
,,,耿烜 专业认知实习(XX227270_002),,
第四节,,,"(19-20,信息231)",,
11:05-11:50,,,,,
第五节,,,,,
11:55-12:25,,,,,
第六节,,,,,
12:30-13:00,,,,,
第七节,朱巧珍 高等数学A（二）(WL210012_011),陈元林 电子仪器实习(XX227040_003),杨志伟 毛泽东思想和中国特色社会主义理论体系概论(MY210350_004),沈海荣 金工认识实习(QT727010_002),沈海荣 金工认识实习(QT727010_002)
